"Advocate Name","Advocate Argument Number","Argument Date","Term","Case Number","Case Title","Citation","URL"
"Harriet S. Shapiro",8,"1979-04-25","1978-10","78-808","Califano v. Boles","443 U.S. 282 (1979)","https://argumentaloud.org/courts/ussc/?term=1978-10&case=78-808&event=1"
"Harriet S. Shapiro",9,"1979-10-01","1979-10","78-740","Andrus v. Allard","444 U.S. 51 (1979)","https://argumentaloud.org/courts/ussc/?term=1979-10&case=78-740&event=1"
"Harriet S. Shapiro",10,"1979-10-31","1979-10","78-1513","United States v. Clark","445 U.S. 23 (1980)","https://argumentaloud.org/courts/ussc/?term=1979-10&case=78-1513&event=1"
"Harriet S. Shapiro",11,"1980-02-19","1979-10","79-192","New York Gaslight Club, Inc. v. Carey","447 U.S. 54 (1980)","https://argumentaloud.org/courts/ussc/?term=1979-10&case=79-192&event=1"
"Harriet S. Shapiro",12,"1980-04-15","1979-10","79-701","Roadway Express, Inc. v. Piper","447 U.S. 752 (1980)","https://argumentaloud.org/courts/ussc/?term=1979-10&case=79-701&event=2"
"Harriet S. Shapiro",13,"1980-11-10","1980-10","78-1945","Universities Research Assn., Inc. v. Coutu","450 U.S. 754 (1981)","https://argumentaloud.org/courts/ussc/?term=1980-10&case=78-1945&event=1"
"Harriet S. Shapiro",14,"1982-03-30","1981-10","81-31,81-228,81-455","California v. Grace Brethren Church","457 U.S. 393 (1982)","https://argumentaloud.org/courts/ussc/?term=1981-10&case=81-31%2C81-228%2C81-455&event=1"
"Harriet S. Shapiro",15,"1983-04-27","1982-10","82-411","Newport News Shipbuilding & Dry Dock Company v. Equal Employment Opportunity Commission","462 U.S. 669 (1983)","https://argumentaloud.org/courts/ussc/?term=1982-10&case=82-411&event=1"
"Harriet S. Shapiro",16,"1984-02-22","1983-10","82-1994","Kirby Forest Industries, Inc. v. United States","467 U.S. 1 (1984)","https://argumentaloud.org/courts/ussc/?term=1983-10&case=82-1994&event=1"
"Harriet S. Shapiro",17,"1984-03-19","1983-10","83-185","Cooper v. Federal Reserve Bank of Richmond","467 U.S. 867 (1984)","https://argumentaloud.org/courts/ussc/?term=1983-10&case=83-185&event=1"
"Heather R. Kendall",1,"1997-12-10","1997-10","96-1577","Alaska v. Native Village of Venetie Tribal Government","522 U.S. 520 (1998)","https://argumentaloud.org/courts/ussc/?term=1997-10&case=96-1577&event=1"
"Helen Carloss",1,"1939-03-10","1938-10","486","Helvering v. Metropolitan Edison Co.","306 U.S. 522 (1939)","https://argumentaloud.org/courts/ussc/?term=1938-10&case=486"
"Helen Carloss",2,"1939-10-19","1939-10","34","Estate of Sanford v. Commissioner","308 U.S. 39 (1939)","https://argumentaloud.org/courts/ussc/?term=1939-10&case=34"
"Helen Carloss",3,"1939-10-19","1939-10","37","Rasquin v. Humphreys","308 U.S. 54 (1939)","https://argumentaloud.org/courts/ussc/?term=1939-10&case=37"
"Helen Carloss",4,"1939-12-15","1939-10","176","Haggar Co. v. Helvering","308 U.S. 389 (1940)","https://argumentaloud.org/courts/ussc/?term=1939-10&case=176"
"Helen Carloss",5,"1940-01-05","1939-10","229","Real Estate-Land Title & Trust Co. v. United States","309 U.S. 13 (1940)","https://argumentaloud.org/courts/ussc/?term=1939-10&case=229"
"Helen Carloss",6,"1940-12-12","1940-10","55","McClain v. Commissioner","311 U.S. 527 (1941)","https://argumentaloud.org/courts/ussc/?term=1940-10&case=55"
"Helen Carloss",7,"1941-03-05","1940-10","346","Maguire v. Commissioner","313 U.S. 1 (1941)","https://argumentaloud.org/courts/ussc/?term=1940-10&case=346"
"Helen Carloss",8,"1941-03-06","1940-10","472","Helvering v. Gambrill","313 U.S. 11 (1941)","https://argumentaloud.org/courts/ussc/?term=1940-10&case=472"
"Helen Carloss",9,"1942-12-08","1942-10","103","Harrison v. Northern Trust Co.","317 U.S. 476 (1943)","https://argumentaloud.org/courts/ussc/?term=1942-10&case=103"
"Helen Carloss",10,"1943-11-12","1943-10","53","Commissioner v. Gooch Milling & Elevator Co.","320 U.S. 418 (1943)","https://argumentaloud.org/courts/ussc/?term=1943-10&case=53"
"Helen Carloss",11,"1944-03-07","1943-10","130","Douglas v. Commissioner","322 U.S. 275 (1944)","https://argumentaloud.org/courts/ussc/?term=1943-10&case=130"
"Helen Carloss",12,"1944-11-16","1944-10","72","United States v. Standard Rice Co.","323 U.S. 106 (1944)","https://argumentaloud.org/courts/ussc/?term=1944-10&case=72"
"Helen Carloss",13,"1944-12-13","1944-10","148","Webre Steib Co. v. Commissioner","324 U.S. 164 (1945)","https://argumentaloud.org/courts/ussc/?term=1944-10&case=148"
"Helen Carloss",14,"1945-01-09","1944-10","629","Commissioner v. Wemyss","324 U.S. 303 (1945)","https://argumentaloud.org/courts/ussc/?term=1944-10&case=629"
"Helen Carloss",15,"1945-01-09","1944-10","126","Merrill v. Fahs","324 U.S. 308 (1945)","https://argumentaloud.org/courts/ussc/?term=1944-10&case=126"
"Helen Carloss",16,"1945-02-02","1944-10","534","Estate of Putnam v. Commissioner","324 U.S. 393 (1945)","https://argumentaloud.org/courts/ussc/?term=1944-10&case=534"
"Helen Carloss",17,"1945-03-29","1944-10","710","Commissioner v. Estate of Bedford","325 U.S. 283 (1945)","https://argumentaloud.org/courts/ussc/?term=1944-10&case=710"
"Helen Carloss",18,"1945-11-06","1945-10","56","Kirby Petroleum Co. v. Commissioner","326 U.S. 599 (1946)","https://argumentaloud.org/courts/ussc/?term=1945-10&case=56"
"HELEN G. WASHINGTON",1,"1959-05-18","1958-10","581","Burns v. Ohio","360 U.S. 252 (1959)","https://argumentaloud.org/courts/ussc/?term=1958-10&case=581&event=1"
"Helen Goodner",1,"1947-12-10","1947-10","157","Massachusetts v. United States","333 U.S. 611 (1948)","https://argumentaloud.org/courts/ussc/?term=1947-10&case=157"
"Helen Goodner",2,"1952-10-24","1952-10","51","Arrowsmith v. Commissioner","344 U.S. 6 (1952)","https://argumentaloud.org/courts/ussc/?term=1952-10&case=51"
"Helen H. Hong",1,"2022-02-23","2021-10","20-1775","Arizona v. San Francisco","","https://argumentaloud.org/courts/ussc/?term=2021-10&case=20-1775&event=2"
"Helen Buttenwieser",1,"1977-03-21","1976-10","76-180,76-183,76-5193,76-5200","Smith v. Organization of Foster Families For Equality & Reform","431 U.S. 816 (1977)","https://argumentaloud.org/courts/ussc/?term=1976-10&case=76-180%2C76-183%2C76-5193%2C76-5200&event=1"
"Helen R. Carloss",1,"1938-04-28","1937-10","919","Lang v. Commissioner","304 U.S. 264 (1938)","https://argumentaloud.org/courts/ussc/?term=1937-10&case=919"
"Helen Z. M. Rodgers",1,"1920-10-12","1920-10","46","International Bridge Co. v. New York","254 U.S. 126 (1920)","https://argumentaloud.org/courts/ussc/?term=1920-10&case=46"
"Helen Z.M. Rodgers",1,"1923-04-27","1922-10","96","Taggarts v. New York","262 U.S. 731 (1923)","https://argumentaloud.org/courts/ussc/?term=1922-10&case=96"
"HELGI C. WALKER",1,"2016-03-30","2015-10","15-6418","Welch v. United States","","https://argumentaloud.org/courts/ussc/?term=2015-10&case=15-6418&event=2"
"Helgi C. Walker",2,"2021-01-19","2020-10","19-1231","FCC v. Prometheus Radio Project","","https://argumentaloud.org/courts/ussc/?term=2020-10&case=19-1231&event=2"
"Herma Hill Kay",1,"1978-11-01","1978-10","77-533","Hisquierdo v. Hisquierdo","439 U.S. 572 (1979)","https://argumentaloud.org/courts/ussc/?term=1978-10&case=77-533&event=1"
"Hester W. Webb",1,"1938-10-18","1938-10","21","Neblett v. Carpenter","305 U.S. 297 (1938)","https://argumentaloud.org/courts/ussc/?term=1938-10&case=21"
"Hilary A. Fox",1,"2001-11-06","2001-10","00-1260","United States v. Knights","534 U.S. 112 (2001)","https://argumentaloud.org/courts/ussc/?term=2001-10&case=00-1260&event=1"
"Holly D. Wilkens",1,"1992-02-25","1991-10","90-8370","Medina v. California","505 U.S. 437 (1992)","https://argumentaloud.org/courts/ussc/?term=1991-10&case=90-8370&event=1"
"Holly D. Wilkens",2,"1997-12-09","1997-10","97-215","Calderone v. Thompson","523 U.S. 538 (1998)","https://argumentaloud.org/courts/ussc/?term=1997-10&case=97-215&event=1"
"Holly Maguigan",1,"1985-12-03","1985-10","84-1580","United States v. Inadi","475 U.S. 387 (1986)","https://argumentaloud.org/courts/ussc/?term=1985-10&case=84-1580&event=1"
"Ilana Eisenstein",1,"2015-03-02","2014-10","13-1352","Ohio v. Clark","","https://argumentaloud.org/courts/ussc/?term=2014-10&case=13-1352&event=2"
"Ilana H. Eisenstein",2,"2015-12-01","2015-10","14-510","Menominee Tribe of Wis. v. United States","","https://argumentaloud.org/courts/ussc/?term=2015-10&case=14-510&event=1"
"Ilana H. Eisenstein",3,"2016-02-29","2015-10","14-10154","Voisine v. United States","","https://argumentaloud.org/courts/ussc/?term=2015-10&case=14-10154&event=1"
"Ilana H. Eisenstein",4,"2016-10-05","2016-10","14-9496","Manuel v. Joliet","","https://argumentaloud.org/courts/ussc/?term=2016-10&case=14-9496&event=1"
"Ilana H. Eisenstein",5,"2017-03-20","2016-10","15-1031","Howell v. Howell","","https://argumentaloud.org/courts/ussc/?term=2016-10&case=15-1031&event=1"
"Ilana H. Eisenstein",1,"2015-12-01","2015-10","14-510","Menominee Tribe of Wis. v. United States","","https://argumentaloud.org/courts/ussc/?term=2015-10&case=14-510&event=1"
"Ilana H. Eisenstein",2,"2016-02-29","2015-10","14-10154","Voisine v. United States","","https://argumentaloud.org/courts/ussc/?term=2015-10&case=14-10154&event=1"
"Ilana H. Eisenstein",3,"2016-10-05","2016-10","14-9496","Manuel v. Joliet","","https://argumentaloud.org/courts/ussc/?term=2016-10&case=14-9496&event=1"
"Ilana H. Eisenstein",4,"2017-03-20","2016-10","15-1031","Howell v. Howell","","https://argumentaloud.org/courts/ussc/?term=2016-10&case=15-1031&event=1"
"Inge Fryklund",1,"1989-10-11","1989-10","88-5050","Holland v. Illinois","493 U.S. 474 (1990)","https://argumentaloud.org/courts/ussc/?term=1989-10&case=88-5050&event=1"
"Iva C. Dougherty",1,"2002-11-04","2002-10","01-7574","Sattazahn v. Pennsylvania","537 U.S. 101 (2003)","https://argumentaloud.org/courts/ussc/?term=2002-10&case=01-7574&event=1"
"Jaclyn S. Frankfurt",1,"2010-03-31","2009-10","08-6261","Robertson v. United States ex rel. Watson","560 U.S. 272 (2010)","https://argumentaloud.org/courts/ussc/?term=2009-10&case=08-6261&event=1"
"Jaime A. Santos",1,"2023-11-28","2023-10","22-666","Wilkinson v. Garland, Att'y Gen.","","https://argumentaloud.org/courts/ussc/?term=2023-10&case=22-666&event=2"
"Jamesa J. Drake",1,"2011-01-12","2010-10","09-1272","Kentucky v. King","563 U.S. 452 (2011)","https://argumentaloud.org/courts/ussc/?term=2010-10&case=09-1272&event=2"
"Jamie Ann Sabino",1,"1985-03-25","1984-10","84-438","Superintendent, Massachusetts Correctional Institution at Walpole v. Hill","472 U.S. 445 (1985)","https://argumentaloud.org/courts/ussc/?term=1984-10&case=84-438&event=1"
"Jan Graham",1,"1993-11-02","1993-10","92-6281","Hagen v. Utah","510 U.S. 399 (1994)","https://argumentaloud.org/courts/ussc/?term=1993-10&case=92-6281&event=1"
"JANAI NELSON",1,"2025-10-15","2025-10","24-109","Louisiana v. Callais","","https://argumentaloud.org/courts/ussc/?term=2025-10&case=24-109&event=3"
"Jane E. Bloom",1,"1976-11-30","1976-10","75-1397","Juidice v. Vail","430 U.S. 327 (1977)","https://argumentaloud.org/courts/ussc/?term=1976-10&case=75-1397&event=1"
"JANE E. NOTZ",1,"2025-10-08","2025-10","24-568","Bost v. IL Bd. of Elections","","https://argumentaloud.org/courts/ussc/?term=2025-10&case=24-568&event=2"
"Jane G. Stevens",1,"1974-03-18","1973-10","72-6609","Jimenez v. Weinberger","417 U.S. 628 (1974)","https://argumentaloud.org/courts/ussc/?term=1973-10&case=72-6609&event=1"
"Jane M. Gootee",1,"1985-12-10","1985-10","84-1259","Dow Chemical Company v. United States","476 U.S. 227 (1986)","https://argumentaloud.org/courts/ussc/?term=1985-10&case=84-1259&event=1"
"Jane M. Picker",1,"1973-10-15","1973-10","72-777,72-1129","Cleveland Board of Education v. LaFleur","414 U.S. 632 (1974)","https://argumentaloud.org/courts/ussc/?term=1973-10&case=72-777%2C72-1129&event=1"
"Jane Moran",1,"1990-01-16","1989-10","88-1671,88-1688","United States Department of Labor v. Triplett","494 U.S. 715 (1990)","https://argumentaloud.org/courts/ussc/?term=1989-10&case=88-1671%2C88-1688&event=1"
"Jane N. Kirkland",1,"2005-10-11","2005-10","04-980","Brown v. Sanders","546 U.S. 212 (2006)","https://argumentaloud.org/courts/ussc/?term=2005-10&case=04-980&event=1"
"Jane R. Wettach",1,"1987-04-22","1986-10","86-509,86-564","Bowen v. Gilliard","483 U.S. 587 (1987)","https://argumentaloud.org/courts/ussc/?term=1986-10&case=86-509%2C86-564&event=1"
"Jane Webre",1,"2013-01-16","2012-10","11-1118","Gunn v. Minton","","https://argumentaloud.org/courts/ussc/?term=2012-10&case=11-1118&event=2"
"Janet A. Metcalf",1,"2008-04-21","2007-10","07-474","Engquist v. Oregon Department of Agriculture","553 U.S. 591 (2008)","https://argumentaloud.org/courts/ussc/?term=2007-10&case=07-474&event=1"
"Janet Benshoof",1,"1988-03-30","1987-10","87-253,87-431,87-462,87-775","Bowen v. Kendrick","487 U.S. 589 (1988)","https://argumentaloud.org/courts/ussc/?term=1987-10&case=87-253%2C87-431%2C87-462%2C87-775&event=1"
"Janet Benshoof",2,"1988-03-30","1987-10","87-253","Bowen v. Kendrick","","https://argumentaloud.org/courts/ussc/?term=1987-10&case=87-253&event=1"
"Janet Benshoof",3,"1989-11-29","1989-10","88-1125,88-1309","Hodgson v. Minnesota","497 U.S. 417 (1990)","https://argumentaloud.org/courts/ussc/?term=1989-10&case=88-1125%2C88-1309&event=1"
"Janet C. Hall",1,"1992-01-21","1991-10","90-1791","Connecticut National Bank v. Germain","503 U.S. 249 (1992)","https://argumentaloud.org/courts/ussc/?term=1991-10&case=90-1791&event=1"
"Janet Gaard",1,"2003-03-31","2002-10","01-1757","Stogner v. California","539 U.S. 607 (2003)","https://argumentaloud.org/courts/ussc/?term=2002-10&case=01-1757&event=1"
"Janet L. Cox",1,"1980-03-26","1979-10","78-6885","Hicks v. Oklahoma","447 U.S. 343 (1980)","https://argumentaloud.org/courts/ussc/?term=1979-10&case=78-6885&event=1"
"Janet M. Calvo",1,"1976-12-07","1976-10","75-6297","Fiallo v. Bell","430 U.S. 787 (1977)","https://argumentaloud.org/courts/ussc/?term=1976-10&case=75-6297&event=1"
"Janet Napolitano",1,"2002-04-22","2001-10","01-488","Ring v. Arizona","536 U.S. 584 (2002)","https://argumentaloud.org/courts/ussc/?term=2001-10&case=01-488&event=1"
"Janet Reno",1,"1996-12-11","1996-10","95-1268","Maryland v. Wilson","519 U.S. 408 (1997)","https://argumentaloud.org/courts/ussc/?term=1996-10&case=95-1268&event=1"
"Janice L. Bergmann",1,"2005-03-22","2004-10","04-5286","Dodd v. United States","545 U.S. 353 (2005)","https://argumentaloud.org/courts/ussc/?term=2004-10&case=04-5286&event=1"
"Janice L. Bergmann",2,"2016-11-28","2016-10","15-8544","Beckles v. United States","","https://argumentaloud.org/courts/ussc/?term=2016-10&case=15-8544&event=2"
"Janice M. Joyce Bartee",1,"1983-10-05","1983-10","82-357","Michigan v. Clifford","464 U.S. 287 (1984)","https://argumentaloud.org/courts/ussc/?term=1983-10&case=82-357&event=1"
"Janis S. McLean",1,"2003-01-21","2002-10","01-1862","Woodford v. Garceau","538 U.S. 202 (2003)","https://argumentaloud.org/courts/ussc/?term=2002-10&case=01-1862&event=1"
"Jayne A. Carr",1,"1975-03-18","1974-10","73-6650","Brown v. Illinois","422 U.S. 590 (1975)","https://argumentaloud.org/courts/ussc/?term=1974-10&case=73-6650&event=1"
"Jean E. Dubofsky",1,"1995-10-10","1995-10","94-1039","Romer v. Evans","517 U.S. 620 (1996)","https://argumentaloud.org/courts/ussc/?term=1995-10&case=94-1039&event=1"
"Jean M. Coon",1,"1966-04-18","1965-10","847,877","Katzenbach v. Morgan","384 U.S. 641 (1966)","https://argumentaloud.org/courts/ussc/?term=1965-10&case=847%2C877&event=1"
"Jean M. Coon",2,"1968-04-22","1967-10","660","Board of Ed. of Central School Dist. No. 1 v. Allen","392 U.S. 236 (1968)","https://argumentaloud.org/courts/ussc/?term=1967-10&case=660&event=1"
"Jean M. Coon",3,"1973-03-19","1972-10","72-269,72-270,72-271","Levitt v. Committee for Public Education & Religious Liberty","413 U.S. 472 (1973)","https://argumentaloud.org/courts/ussc/?term=1972-10&case=72-269%2C72-270%2C72-271&event=1"
"Jean M. Coon",4,"1973-04-16","1972-10","72-694,72-753,72-791,72-929","Committee for Public Education & Religious Liberty v. Nyquist","413 U.S. 756 (1973)","https://argumentaloud.org/courts/ussc/?term=1972-10&case=72-694%2C72-753%2C72-791%2C72-929&event=1"
"Jean M. Coon",5,"1973-04-17,1973-04-18","1972-10","72-792,72-802","New York Department of Social Services v. Dublino","413 U.S. 405 (1973)","https://argumentaloud.org/courts/ussc/?term=1972-10&case=72-792%2C72-802&event=1"
"Jean M. Coon",6,"1977-10-03","1977-10","76-616","New York v. Cathedral Academy","434 U.S. 125 (1977)","https://argumentaloud.org/courts/ussc/?term=1977-10&case=76-616&event=1"
"Jean M. Manning",1,"2007-04-24","2006-10","06-618","Office of Sen. Mark Dayton v. Hanson","550 U.S. 511 (2007)","https://argumentaloud.org/courts/ussc/?term=2006-10&case=06-618&event=1"
"Jean P. Kamp",1,"1981-03-02","1980-10","80-332","Rhodes v. Chapman","452 U.S. 337 (1981)","https://argumentaloud.org/courts/ussc/?term=1980-10&case=80-332&event=1"
"Jeanne Whiteing",1,"1985-01-15","1984-10","83-2161","Montana v. Blackfeet Tribe of Indians","471 U.S. 759 (1985)","https://argumentaloud.org/courts/ussc/?term=1984-10&case=83-2161&event=1"
"Jeanne S. Whiteing",2,"1985-04-23","1984-10","83-2161","Montana v. Blackfeet Tribe of Indians","471 U.S. 759 (1985)","https://argumentaloud.org/courts/ussc/?term=1984-10&case=83-2161&event=3"
"Jennifer D. Bennett",1,"2018-10-03","2018-10","17-340","New Prime Inc. v. Oliveira","","https://argumentaloud.org/courts/ussc/?term=2018-10&case=17-340&event=2"
"Jennifer D. Bennett",2,"2022-03-28","2021-10","21-309","Southwest Airlines Co. v. Saxon","","https://argumentaloud.org/courts/ussc/?term=2021-10&case=21-309&event=2"
"Jennifer D. Bennett",3,"2024-02-20","2023-10","23-51","Bissonnette v. LePage Bakeries Park St., LLC","","https://argumentaloud.org/courts/ussc/?term=2023-10&case=23-51&event=2"
"JENNIFER D. BENNETT",4,"2025-11-10","2025-10","24-758","GEO Group, Inc. v. Menocal","","https://argumentaloud.org/courts/ussc/?term=2025-10&case=24-758&event=2"
"JENNIFER D. BENNETT",5,"2026-03-25","2025-10","24-935","Flowers Foods, Inc. v. Brock","","https://argumentaloud.org/courts/ussc/?term=2025-10&case=24-935&event=1"
"Jennifer Dalven",1,"2005-11-30","2005-10","04-1144","Ayotte v. Planned Parenthood of Northern New England","546 U.S. 320 (2006)","https://argumentaloud.org/courts/ussc/?term=2005-10&case=04-1144&event=1"
"Jennifer G. Perkell",1,"2006-03-22","2005-10","05-416","Woodford v. Ngo","548 U.S. 81 (2006)","https://argumentaloud.org/courts/ussc/?term=2005-10&case=05-416&event=1"
"Jennifer Grace Miller",1,"2014-01-15","2013-10","12-1168","McCullen v. Coakley","","https://argumentaloud.org/courts/ussc/?term=2013-10&case=12-1168&event=2"
"Jennifer J. Bercier",1,"1990-12-03","1990-10","89-1474","McDermott International, Inc. v. Wilander","498 U.S. 337 (1991)","https://argumentaloud.org/courts/ussc/?term=1990-10&case=89-1474&event=1"
"Jennifer K. Harbury",1,"2002-03-18","2001-10","01-394","Christopher v. Harbury","536 U.S. 403 (2002)","https://argumentaloud.org/courts/ussc/?term=2001-10&case=01-394&event=1"
"Jennifer L. De Angelis",1,"1993-11-30","1993-10","92-1441","Staples v. United States","511 U.S. 600 (1994)","https://argumentaloud.org/courts/ussc/?term=1993-10&case=92-1441&event=1"
"Jennifer L. Smith",1,"2005-04-26","2004-10","04-514","Bell v. Thompson","545 U.S. 794 (2005)","https://argumentaloud.org/courts/ussc/?term=2004-10&case=04-514&event=1"
"Jennifer Smith",2,"2006-01-11","2005-10","04-8990","House v. Bell","547 U.S. 518 (2006)","https://argumentaloud.org/courts/ussc/?term=2005-10&case=04-8990&event=1"
"Jennifer L. Smith",3,"2008-12-09","2008-10","07-1114","Cone v. Bell","556 U.S. 449 (2009)","https://argumentaloud.org/courts/ussc/?term=2008-10&case=07-1114&event=1"
"Jennifer Martinez",1,"2004-04-28","2003-10","03-1027","Rumsfeld v. Padilla","542 U.S. 426 (2004)","https://argumentaloud.org/courts/ussc/?term=2003-10&case=03-1027&event=1"
"Jennifer Smith",1,"2006-01-11","2005-10","04-8990","House v. Bell","547 U.S. 518 (2006)","https://argumentaloud.org/courts/ussc/?term=2005-10&case=04-8990&event=1"
"Jenny Ellickson",1,"2019-02-26","2018-10","17-8995","Mont v. United States","","https://argumentaloud.org/courts/ussc/?term=2018-10&case=17-8995&event=2"
"Jessica C. Conner",1,"2025-01-13","2024-10","23-997","Stanley v. City of Sanford","","https://argumentaloud.org/courts/ussc/?term=2024-10&case=23-997&event=2"
"Jessica E. Méndez-Colberg",1,"2019-10-15","2019-10","18-1334","Financial Oversight and Management Bd. for Puerto Rico v. Aurelius Investment, LLC","","https://argumentaloud.org/courts/ussc/?term=2019-10&case=18-1334&event=1"
"Jessica L. Ellsworth",1,"2024-02-28","2023-10","23-3","Coinbase, Inc. v. Suski","","https://argumentaloud.org/courts/ussc/?term=2023-10&case=23-3&event=2"
"Jessica L. Ellsworth",2,"2024-03-26","2023-10","23-235","FDA v. Alliance Hippocratic Medicine","","https://argumentaloud.org/courts/ussc/?term=2023-10&case=23-235&event=2"
"Jessica R. Amunson",1,"2017-10-04","2017-10","16-424","Class v. United States","","https://argumentaloud.org/courts/ussc/?term=2017-10&case=16-424&event=2"
"Jessica R. Amunson",2,"2021-03-02","2020-10","19-1257","Brnovich v. Democratic National Committee","","https://argumentaloud.org/courts/ussc/?term=2020-10&case=19-1257&event=2"
"Jewel S. Lafontant",1,"1963-02-19","1962-10","9","Lynumn v. Illinois","372 U.S. 528 (1963)","https://argumentaloud.org/courts/ussc/?term=1962-10&case=9&event=1"
"Jewel S. Lafontant",2,"1973-03-19","1972-10","72-350","United States v. State Tax Commission of Mississippi","412 U.S. 363 (1973)","https://argumentaloud.org/courts/ussc/?term=1972-10&case=72-350&event=1"
"Jewel S. Lafontant",3,"1973-10-17","1973-10","72-5881","Marshall v. United States","414 U.S. 417 (1974)","https://argumentaloud.org/courts/ussc/?term=1973-10&case=72-5881&event=2"
"Jewel S. Lafontant",4,"1973-11-13,1973-11-14","1973-10","72-1168","United States v. Maze","414 U.S. 395 (1974)","https://argumentaloud.org/courts/ussc/?term=1973-10&case=72-1168&event=1"
"Jewel S. Lafontant",5,"1974-04-29","1973-10","73-831","Warden v. Marrero","417 U.S. 653 (1974)","https://argumentaloud.org/courts/ussc/?term=1973-10&case=73-831&event=1"
"Jewel S. Lafontant",6,"1974-11-11","1974-10","73-822","Fry v. United States","421 U.S. 542 (1975)","https://argumentaloud.org/courts/ussc/?term=1974-10&case=73-822&event=1"
"Jewel S. LaFontant",7,"1975-01-20","1974-10","73-1541","Reid v. Immigration and Naturalization Service","420 U.S. 619 (1975)","https://argumentaloud.org/courts/ussc/?term=1974-10&case=73-1541&event=1"
"Jill A. Hanken",1,"1987-01-14","1986-10","85-1358","Lukhard v. Reed","481 U.S. 368 (1987)","https://argumentaloud.org/courts/ussc/?term=1986-10&case=85-1358&event=1"
"Jill M. Wichlens",1,"2003-12-09","2003-10","02-1183","United States v. Patane","542 U.S. 630 (2004)","https://argumentaloud.org/courts/ussc/?term=2003-10&case=02-1183&event=1"
"Jill Wine-Banks",1,"1985-12-09","1985-10","84-6807","Lee v. Illinois","476 U.S. 530 (1986)","https://argumentaloud.org/courts/ussc/?term=1985-10&case=84-6807&event=1"
"Jo S. Widener",1,"1985-01-09","1984-10","84-5004","Ball v. United States","470 U.S. 856 (1985)","https://argumentaloud.org/courts/ussc/?term=1984-10&case=84-5004&event=1"
"Joan B. Gottschall",1,"1980-02-25","1979-10","79-8","United States v. Raddatz","447 U.S. 667 (1980)","https://argumentaloud.org/courts/ussc/?term=1979-10&case=79-8&event=1"
"Joan C. Watt",1,"2016-02-22","2015-10","14-1373","Utah v. Strieff","","https://argumentaloud.org/courts/ussc/?term=2015-10&case=14-1373&event=2"
"Joan E. Pilver",1,"1980-01-09","1979-10","78-1888","Maher v. Gagne","448 U.S. 122 (1980)","https://argumentaloud.org/courts/ussc/?term=1979-10&case=78-1888&event=1"
"JOAN FOWLER",1,"1991-02-26","1990-10","89-1717","Florida v. Bostick","501 U.S. 429 (1991)","https://argumentaloud.org/courts/ussc/?term=1990-10&case=89-1717&event=1"
"Joan Herre Byers",1,"1989-10-10","1989-10","88-5909","McKoy v. North Carolina","494 U.S. 433 (1990)","https://argumentaloud.org/courts/ussc/?term=1989-10&case=88-5909&event=1"
"Joan M. Hall",1,"1991-03-27","1990-10","90-516","Kamen v. Kemper Financial Services, Inc.","500 U.S. 90 (1991)","https://argumentaloud.org/courts/ussc/?term=1990-10&case=90-516&event=1"
"Joan Marie Fisher",1,"1991-02-19","1990-10","88-7247","Lankford v. Idaho","500 U.S. 110 (1991)","https://argumentaloud.org/courts/ussc/?term=1990-10&case=88-7247&event=1"
"Joan Offner",1,"1978-12-06","1978-10","77-1427","New York City Transit Authority v. Beazer","440 U.S. 568 (1979)","https://argumentaloud.org/courts/ussc/?term=1978-10&case=77-1427&event=1"
"Joan R. Gallo",1,"1987-11-10","1987-10","86-753","Pennell v. City of San Jose","485 U.S. 1 (1988)","https://argumentaloud.org/courts/ussc/?term=1987-10&case=86-753&event=1"
"Joann Bour-Stokes",1,"1991-01-16","1990-10","89-1944","Ohio v. Huertas","498 U.S. 336 (1991)","https://argumentaloud.org/courts/ussc/?term=1990-10&case=89-1944&event=1"
"Joanne Condas",1,"1974-03-26","1973-10","73-640","Geduldig v. Aiello","417 U.S. 484 (1974)","https://argumentaloud.org/courts/ussc/?term=1973-10&case=73-640&event=1"
"Joanne M. Garvey",1,"1994-03-28","1993-10","92-1384,92-1839","Barclay's Bank, PLC v. Franchise Tax Bd. of California","512 U.S. 298 (1994)","https://argumentaloud.org/courts/ussc/?term=1993-10&case=92-1384%2C92-1839&event=1"
"Joanne S. Faulkner",1,"1991-01-07","1990-10","90-143","Connecticut v. Doehr","501 U.S. 1 (1991)","https://argumentaloud.org/courts/ussc/?term=1990-10&case=90-143&event=1"
"Joy B. Shearer",1,"1986-04-22","1985-10","85-5542","Ford v. Wainwright","477 U.S. 399 (1986)","https://argumentaloud.org/courts/ussc/?term=1985-10&case=85-5542&event=1"
"JOY B. SHEARER",2,"1987-04-21","1986-10","86-5344","Miller v. Florida","482 U.S. 423 (1987)","https://argumentaloud.org/courts/ussc/?term=1986-10&case=86-5344&event=1"
"Joyce Ellen M. Reikes",1,"1986-02-26","1985-10","84-1560","Press-Enterprise Co. v. Superior Court of Cal., County of Riverside","478 U.S. 1 (1986)","https://argumentaloud.org/courts/ussc/?term=1985-10&case=84-1560&event=1"
"Juanita Madole",1,"1998-04-27","1997-10","97-704","Dooley v. Korean Airlines Company","524 U.S. 116 (1998)","https://argumentaloud.org/courts/ussc/?term=1997-10&case=97-704&event=1"
